"Step","lr5e-4_timesteps2e6_2 - episode_reward","lr5e-4_timesteps2e6_2 - episode_reward__MIN","lr5e-4_timesteps2e6_2 - episode_reward__MAX"
"2645","-163.6723174858602","-163.6723174858602","-163.6723174858602"
"2668","-163.1466153382639","-163.1466153382639","-163.1466153382639"
"2752","-161.56873309121747","-161.56873309121747","-161.56873309121747"
"2782","-161.20151613529632","-161.20151613529632","-161.20151613529632"
"2894","-159.53904220500894","-159.53904220500894","-159.53904220500894"
"2897","-159.53006148784846","-159.53006148784846","-159.53006148784846"
"2913","-159.3788835387349","-159.3788835387349","-159.3788835387349"
"2964","-158.72336199022686","-158.72336199022686","-158.72336199022686"
"2983","-158.36980647226073","-158.36980647226073","-158.36980647226073"
"2984","-158.35187097192374","-158.35187097192374","-158.35187097192374"
